lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
,167,0.19276438653469086,1927.7142333984375,0.19276438653469086,0.25831615924835205,nan,nan,nan,0.0,0.34567901492118835,2.038671482296195e-05,1.012163374980446e-05,1.026508107315749e-05,0.34567901492118835,0.19280366599559784,0.19276438653469086,27.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,27,,,,,,,,,,,,,
,167,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.19362872838974,1936.361328125,0.19362872838974,0.2208915799856186,nan,nan,nan,0.0,0.34567901492118835,2.144946665794123e-05,1.1229422852920834e-05,1.0220043805020396e-05,0.34567901492118835
0.004,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,0.19275164604187012,1927.5899658203125,0.19275164604187012,0.2586479187011719,nan,nan,nan,0.0,0.3580246865749359,2.0552499336190522e-05,9.973352462111507e-06,1.0579147783573717e-05,0.3580246865749359,0.19276726245880127,0.19275164604187012,28.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,28,,,,,,,,,,,,,
,173,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.19412732124328613,1941.3509521484375,0.19412732124328613,0.2227713018655777,nan,nan,nan,0.0,0.3580246865749359,2.168510945921298e-05,1.1174739483976737e-05,1.0510369065741543e-05,0.3580246865749359
0.004,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,0.19249431788921356,1925.0216064453125,0.19249431788921356,0.264885276556015,nan,nan,nan,0.0,0.37037035822868347,2.1167161321500316e-05,1.0331748853786848e-05,1.0835412467713468e-05,0.37037035822868347,0.19257619976997375,0.19249431788921356,29.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,29,,,,,,,,,,,,,
,179,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.1935884803533554,1935.9661865234375,0.1935884803533554,0.22377198934555054,nan,nan,nan,0.0,0.37037035822868347,2.1944952095509507e-05,1.1032028851332143e-05,1.0912925063166767e-05,0.37037035822868347
0.004,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,185,0.19229952991008759,1923.0758056640625,0.19229952991008759,0.26964202523231506,nan,nan,nan,0.0,0.3827160596847534,2.1040657884441316e-05,1.0048808690044098e-05,1.0991851013386622e-05,0.3827160596847534,0.19238252937793732,0.19229952991008759,30.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,30,,,,,,,,,,,,,
,185,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.1933816820383072,1933.9029541015625,0.1933816820383072,0.2290748953819275,nan,nan,nan,0.0,0.3827160596847534,2.2487498426926322e-05,1.1360680218786001e-05,1.1126820027129725e-05,0.3827160596847534
0.004,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
